Lexical item,Level,Avanzado,Inicial,Intermedio,Adulta,Infantil,Juvenil,Native
Buitre,B1,0,0,0,0,2,0,1
Buscador,B1,0,0,0,1,0,0,1
Buzón de voz,B1,0,0,0,0,0,0,0
Báscula,A1-A2,0,0,0,0,0,0,0
Béisbol,B1,0,0,0,0,0,6,3
Caballo,A1-A2,53,1,8,10,16,5,6
Cabaña,B1,0,0,1,0,1,0,0
Cabeza,A1-A2,44,46,46,46,87,137,37
Cabeza de ajos,A1-A2,0,0,0,0,0,0,0
Cabina de teléfono,A1-A2,0,1,0,0,0,0,0
Cabina telefónica,A1-A2,0,0,1,0,0,0,0
Cable,B2,1,0,0,0,0,2,8
Cacahuete,B1,0,0,0,0,0,0,0
Cadena,A1-A2,11,4,7,3,0,8,21
Caducado,B2,0,0,0,0,0,0,0
Caer bien,B1,1,0,0,0,0,0,0
Caer bien a,B1,0,0,0,0,0,0,0
Caer mal,B1,0,0,0,0,0,0,0
Caer mal a,B1,0,0,0,0,0,0,0
Cafetera,B1,0,0,0,0,0,0,0
Cafetería,A1-A2,2,3,2,2,0,0,0
Café,B1,4,45,22,17,0,1,40
Café con leche,A1-A2,0,3,0,3,0,0,1
Café solo,A1-A2,0,0,1,0,0,0,0
Cajero,A1-A2,0,1,3,0,0,0,0
Cajero automático,B1,0,1,1,0,0,0,0
Cajón,A1-A2,6,2,5,10,8,5,6
Calabacín,B1,0,0,0,0,0,0,0
Calcetín,A1-A2,0,0,2,0,0,1,1
Calcio,B2,0,0,0,0,1,0,0
Calcular,B2,1,0,1,2,1,0,11
Calefacción,B1,0,0,0,0,0,1,1
Calendario,A1-A2,2,0,0,1,1,1,0
Calentamiento,B1,0,0,0,0,0,0,1
Calentamiento global,B2,0,0,0,0,0,0,0
Calentar,B1,0,0,2,3,1,2,2
Caliente,B1,0,7,9,4,2,4,4
Calle,A1-A2,20,111,46,44,29,25,33
Callejero,B1,1,0,0,2,1,1,5
Calmante,B2,0,0,0,0,0,0,0
Calor,A1-A2,2,16,18,16,9,12,12
Caloría,B1,0,0,0,0,0,0,0
Calorías vacías,B2,0,0,0,0,0,0,0
Calvo,A1-A2,0,17,2,0,0,1,0
Calzar,B1,0,0,0,0,2,0,0
Calzoncillos,A1-A2,0,0,0,0,0,0,0
Cama,A1-A2,14,24,22,21,29,44,8
Cama de matrimonio,A1-A2,0,0,0,0,0,0,0
Cama individual,A1-A2,0,0,0,0,0,0,0
Camarero,A1-A2,0,33,3,0,0,0,2
Cambiar,B2,14,12,15,7,12,13,28
Cambiar de cadena,B1,0,0,0,0,0,0,0
Cambiar de canal,B1,0,0,0,0,0,1,0
Cambiar de chaqueta,B2,0,0,0,0,0,0,0
Cambiar las sábanas,A1-A2,0,0,0,0,0,0,0
Cambio,B1,3,9,6,12,19,13,56
Cambio climático,B1,0,0,0,0,0,0,0
Cambio de imagen,B2,0,0,0,0,0,0,1
Cambio de sentido,B2,0,0,0,0,0,0,0
Camilla,A1-A2,0,0,4,0,0,0,0
Caminar,B1,7,7,10,12,14,8,5
Camisa,B1,7,11,7,12,1,7,3
Camiseta,A1-A2,1,1,8,0,0,7,6
Camión,B1,0,8,13,3,0,0,9
Campeonato,B2,0,0,0,0,0,0,15
Campesino,B1,1,0,9,2,4,0,5
Campeón,B2,0,0,0,0,0,0,36
Campin,B1,0,0,0,0,0,0,0
Campo,B1,25,8,19,13,13,6,64
Campo de fútbol,A1-A2,0,0,0,0,0,0,0
Campus,B1,0,0,0,0,0,0,1
Canasta,A1-A2,0,0,0,1,1,1,4
Cancelación,A1-A2,0,0,0,0,0,0,1
Cancelar,B2,0,0,0,0,0,0,0
Cancelar una reserva,A1-A2,0,0,0,0,0,0,0
Cancha,A1-A2,0,0,0,0,0,2,7
Canción,A1-A2,4,5,21,2,11,17,3
Canica,B2,0,0,0,0,0,0,0
Cansado,A1-A2,8,26,16,6,9,4,2
Cansancio,B2,1,0,1,3,2,1,6
Cansarse,B2,1,0,0,0,1,1,0
Cantante,B1,1,2,1,0,0,6,2
Cantar,A1-A2,5,7,15,6,9,22,8
