Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
Adorar,B2,Individuo y relaciones personales,Valores y comportamientos personales,[['adorar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Adquirir experiencia,B1,Trabajo,Trabajo,"[['adquirir', 'experiencia']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
ADSL,B2,Comunicación,Comunicación personal,[['adsl']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Adulto ,B1,Individuo y relaciones personales,Relaciones personales,[['adulto']],2,33354,5.996282304970918e-05,0.0001125649586124663,"(5, 6, 5.5, 6, 6, 6.0)","{'él', 'jugar', 'ninguno', 'convertir', 'en', 'poder', 'y', 'sin', 'dar', 'uno', 'que', 'orden'}","[914, 19, 16, 27, 431, 179, 790, 66, 73, 599, 705, 9]",319.0,33354,0.009564070276428614,0.004804254923467874,"(2.75, 16.75, 7.2593272647755, 1.75, 9.583333333333334, 4.65313503417236)"
Aeropuerto,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,[['aeropuerto']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Afeitarse,A1-A2,Salud e higiene,Cuerpo e higiene personal,"[['afeitar', 'él']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Afeitarse,B1,Salud y cuidados personales,El cuerpo humano y la salud,"[['afeitar', 'él']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Afición,B1,Ocio,Tiempo libre y entretenimiento,[['afición']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aficionado,B1,Ocio,Tiempo libre y entretenimiento,[['aficionado']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aficionado,B2,Ocio,Deportes,[['aficionado']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aficionado ,B1,Ocio,Deportes de equipo,[['aficionado']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agenda,A1-A2,Trabajo,En la oficina,[['agenda']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agente,B2,Justicia,Ley y orden,[['agente']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agobiado,B2,Individuo y relaciones personales,Valores y comportamientos personales,[['agobiado']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agobiarse,B2,Individuo y relaciones personales,Valores y comportamientos personales,"[['agobiar', 'él']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agosto,A1-A2,Fecha y hora,Meses,[['agosto']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agotar ,B2,Medioambiente,Problemas medioambientales,[['agotar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agradable,A1-A2,Individuo y relaciones personales,Carácter,[['agradable']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agrio,B2,Individuo y relaciones personales,Sensaciones y percepciones,[['agrio']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Agua,A1-A2,Geografía y naturaleza,Accidentes geográficos,[['agua']],24,33354,0.0007195538765965102,0.000726226668598699,"(3, 17, 8.208333333333334, 2, 8, 4.833333333333333)","{'él', 'saltar', 'cabeza', 'contra', 'sumergir', 'nadar', 'tratar', 'buscar', 'fuera', 'el', 'voltereta', 'enganchado', 'directamente', 'humano', 'dos', 'cristalino', 'gigante', 'a', 'míratir', 'tirar', 'wendy', 'uno', 'bajo', 'laguna', 'helado', 'que', 'tíratar', '…', 'salir', 'derretir', 'estar', 'y', 'con', 'por', 'entre', 'para', 'merodear', 'tú', 'flotar', 'soltar', 'ariel', 'tronco', 'fingir', 'en', 'de', 'río', 'pintado', 'litro', 'mientras', 'allí', 'salvar'}","[914, 16, 31, 3, 2, 15, 27, 32, 9, 1201, 2, 2, 1, 7, 27, 1, 4, 745, 1, 9, 8, 599, 13, 3, 1, 705, 1, 119, 59, 1, 221, 790, 269, 250, 22, 203, 1, 177, 3, 4, 16, 10, 1, 431, 817, 4, 1, 1, 39, 43, 9]",154.31372549019608,33354,0.004626543307855013,0.0023918153911074653,"(4.980392156862745, 14.372549019607844, 8.301992708116678, 2.7254901960784315, 7.980392156862745, 4.763801798825763)"
