Lexical item;Level
boca de metro;A2
bocadillo;A1
boda;B1
boda civil;B1
boda religiosa;B1
bodas de oro;B2
bodas de plata;B1
bodegón;B2
bol;B2
bolígrafo;A1
Bolivia;A2
boliviano;A2
bollería;B2
bollería industrial;B2
bolsa;B1
bolsa de aseo;B1
bolsa de la compra;B1
bolsa de naranjas;A2
bolsa de viaje;B1
bolso;A1
bomba;B1
bombero;A1
bombilla;B2
bombo;B2
bono;A2
borrador;A2
borrar;A2
borrasca;B2
bosque;A2
bostezar;B2
botón;A2
botón de disparo;B1
bota;B1
botar;A2
botas;A2
botas de montaña;A2
bote de mermelada;A2
bote de tomate;A2
botella;A2
botella de leche;A2
botiquín;B1
braga;A2
bravo;B2
brazo;A2
brecha;B2
bricolaje;B1
brillante;B2
brillar;B2
brillar una estrella;B2
brindar;B2
brindis;B1
bronce;B2
bronquitis;B2
brotar;B1
bruscamente;B2
brusco;B2
bruto;B2
buceador;B1
bucear;B1
budismo;B2
budista;A1
buen amigo;B1
buen gusto;B2
buen sueldo;B2
buen tiempo;A2
buena distribución;B2
buena persona;B1
buenas maneras;B2
buenas noches;A1
buenas vistas;B1
bueno;A2
buenos días;A1
buenos modales;B2
bufé;B2
bufé libre;B2
bufanda;A2
bufete;B1
buhardilla;B2
buitre;B1
bungaló;B2
burlarse;B1
burocracia;B1
buscador;B1
buscar;A1
buscar alojamiento;A2
buscar datos;B1
buscar diferencias;B1
buscar documentos;B1
buscar en un diccionario;B1
buscar en un libro;B1
buscar imágenes;B1
buscar información;B1
buscar piso;A2
buscar trabajo;B1
buscar una palabra;B1
butaca;B2
buzón;B1
buzón de correos;B1
buzón de voz;B1
buzoneo;B2
cálculo;B2
cámara;A2
cámara de comercio;B2
cámara de fotos;A2
cámara digital;B1
cámara lenta;B2
cáncer;B2
cárcel;B1
cáscara de huevo;B1
célula;B2
céntimo;A1
céntimo de euro;A1
céntrico;B1
césped;B1
círculo;B1
cúbico;B1
cóctel;B2
código;B1
código postal;A1
cómic;B1
cómico;B1
cómo estás;A1
cómoda;A2
cómodo;B1
cónsul;B1
cónyuge;B2
cañón;B2
cañería;B2
caída;A2
cabaña;B1
caballo;A2
caber;B1
cabeza;A2
cabeza de ajo;A2
cabina;A2
cabina de ducha;B2
cabina de teléfono;A2
cabina telefónica;A2
cable;B2
cabo;B2
cacahuete;B1
cacao;A2
cacao en polvo;B2
cacharro;B2
cadáver;B2
cadena;A2
cadena de oro;B2
cadena de plata;B2
cadena nacional;B1
cadena pública;B1
cadena privada;B1
cadena regional;B1
caducado;B2
caer;B1
caer bien;B1
caer bien a;B1
caer mal;B1
caer mal a;B1
caer un chaparrón;B2
caer una helada;B2
caer una nevada;B2
caer una tormenta;B2
caerse;B1
caerse bien;B1
caerse las hojas;B1
caerse mal;B1
café;B1
café con leche;A1
café cortado;A1
café solo;A1
cafetería;A2
cafetera;B1
cajón;A1
caja;A1
caja de galletas;A2
caja fuerte;B2
cajero;A2
cajero automático;A2
cala;A2
calabacín;B1
calcetín;A2
calcio;B2
calcular;B2
calcular un porcentaje;B2
calcular un porcentaje con precisión;B2
calcular un porcentaje mentalmente;B2
calcular una cantidad;B2
calcular una cantidad con precisión;B2
calcular una cantidad mentalmente;B2
caldera;B1
calderilla;B2
calefacción;B1
calendario;A2
calendario electoral;B2
calentamiento;B1
calentamiento global;B2
calentar;B1
calentar agua;B2
calentar una salsa;B2
caliente;B1
calificación;B2
callado;B2
calle;A1
calle comercial;A2
calle mayor;A2
calle peatonal;A2
callejón;B1
callejero;B1
calmante;B2
calor;A1
caloría;B1
calorías vacías;B2
calurosamente;B2
calvo;A2
calzada;A2
calzador;B2
calzar;B1
calzoncillo;A2
cama;A1
cama de matrimonio;A2
cama individual;A2
cama supletoria;B2
camarero;A1
cambiar;A2
cambiar de apellido;B2
cambiar de aspecto;B2
cambiar de cadena;B1
cambiar de canal;B1
cambiar de chaqueta;B2
cambiar de compañero;B1
cambiar de dirección;B1
cambiar de emisora;B1
cambiar de libro;B1
cambiar de nombre;B2
cambiar de peinado;B2
cambiar de sitio;B1
cambiar de tema;B1
cambiar dinero;A1
cambiar el aceite;B2
cambiar el tamaño de letra;B2
cambiar el tipo de letra;B2
cambiar la configuración;B2
cambiar las sábanas;A2
cambiar un billete;B1
cambiar una pieza;B2
cambiar una rueda;B2
cambiarse;B1
cambiarse de casa;A2
cambiarse de sitio;B1
cambio;B1
cambio climático;B1
cambio de imagen;B2
cambio de sentido;B2
camión;B1
camión de mudanzas;B1
camilla;B2
caminar;A2
camino;B1
camisón;B2
camisa;A1
camiseta;A1
campaña;B1
campaña electoral;B2
campaña publicitaria;B2
campeón;B2
campeonato;B2
campesino;B1
campin;A2
campo;A1
campo de fútbol;B1
campus;B1
cana;B2
canal;B1
canal nacional;B1
canal público;B1
canal privado;B1
canal regional;B1
canasta;A2
cancelación;A2
cancelar;B2
cancelar un cóctel;B2
cancelar un espectáculo;B2
cancelar un funeral;B2
cancelar un vuelo;B2
cancelar una celebración;B2
cancelar una fiesta de disfraces;B2
cancelar una reserva;A2
cancha;A2
canción;A2
candidato;B2
canguro;B1
canica;B2
canon;B2
cansado;A2
cansancio;B2
cansarse;B1
cantante;A1
cantar;A1
capítulo;B1
capa;A2
capa de ozono;B2
capacidad;B1
capacidad de análisis;B2
capaz;B1
capitán;B1
capricornio;B2
captar;B2
carácter;A2
cara;A2
caramelo;B1
carbón;B2
carbohidrato;B1
cardiología;B1
carecer;B2
cargador;B1
cargar;A2
cargar la batería;B1
cargo;B2
cariño;B2
carné;A1
carné de conducir;A1
carné de identidad;A1
carné por puntos;B2
carne;A1
carne a la brasa;B2
carne a la plancha;B1
carne asada;B2
carne con patatas;A2
carne de cerdo;A2
carne de cordero;A2
carne de pollo;A2
carne de ternera;A2
carne frita;B1
carne guisada;B2
carne hervida;B1
carnicería;A2
carnicero;A2
caro;A1
carpeta;B1
carpintería;B2
carpintero;B2
carrera;B1
carrera ciclista;B1
carrera de coches;B1
carrera de motos;B1
carretera;A1
carretera comarcal;B2
carretera nacional;B2
carretera principal;B2
carretera secundaria;B2
carril;B1
carril bici;B1
carril bus;B1
carrito;B1
carrito de la compra;B1
carro;B1
carro de la compra;B1
cartón;B1
cartón reciclado;B1
carta;A1
carta al director;B2
carta certificada;B2
carta confidencial;B2
carta de despido;B2
carta de presentación;B1
carta de reclamación;B2
carta de recomendación;B2
carta de solicitud de trabajo;B2
carta formal;B1
carta oficial;B2
carta personal;B1
carta privada;B2
carta urgente;B2
cartel;B1
cartelera;B1
cartera;A1
cartero;B1
cartero comercial;B2
cartucho;B2
cartucho de tinta;B2
cartulina;B2
casa;A1
casa de campo;B2
casa rural;B1
casado;A1
casarse;A2
cascada;B2
casco;B1
casco antiguo;B1
casco histórico;B1
casco homologado;B2
casero;B1
casilla;B1
castillo;A2
casting;B2
catálogo;B1
catástrofe;B1
catástrofe natural;B2
católico;B1
catedrático;B2
catedral;A2
categoría;B1
cateto;B2
catolicismo;B2
cauce;B2
caudal de un río;B2
causa;B1
cava;A2
cazador;B1
cazadora;A2
cazo;B1
cazuela;B2
cazuela de barro;B2
CD-ROM;A2
cebolla;A2
cebra;B1
ceda el paso;B2
ceder;B1
ceder el paso;B1
ceja;B1
celebración;B2
celebrar;B1
celebrar elecciones;B2
celebrar las elecciones;B2
celebrar misa;B2
celebrar un bautizo;B2
celebrar un cóctel;B2
celebrar un funeral;B2
celebrar una boda;B1
celebrar una fiesta de disfraces;B2
celo;B2
celular;B1
cemento;B2
cena;A1
cenar;A1
censura;B2
centésimo;A2
centímetro;B1
centímetro cúbico;B1
centímetro cuadrado;B1
central;A1
central de seguridad;B2
centro;A1
centro comercial;A1
centro de belleza;B2
centro de flores;B1
centro de recursos;B1
centro de salud;B1
cepillar;B1
cepillarse el pelo;B2
